order_id,customer_id,product_card_id,delivery_status,Sum of is_delayed,Sum of order_item_quantity,Sum of order_item_total_amount,Sum of profit_per_order,Sum of sales,Year,Quarter,Month,Day,Year,Quarter,Month,Day
497,2224,1004,Delayed,1,4,86.54567,23.9641,99.96,2015,Qtr 1,January,25,2015,Qtr 3,September,1
511,9204,116,Delayed,1,3,107.907715,42.305126,129.99,2015,Qtr 3,July,6,2015,Qtr 2,June,15
514,9493,191,Delayed,1,3,248.98,73.2313,299.97,2015,Qtr 4,October,14,2015,Qtr 2,April,2
517,10860,502,Early,0,2,81.92947,34.14018,100,2015,Qtr 1,February,5,2015,Qtr 1,March,7
518,5129,1004,Early,0,1,347.98,-384.87592,399.98,2015,Qtr 1,March,4,2015,Qtr 1,February,19
521,6973,365,Delayed,1,4,212.49496,-116.76723,239.96,2015,Qtr 2,May,3,2015,Qtr 1,January,14
523,986,403,Delayed,1,1,122.84,33.76767,129.99,2015,Qtr 3,July,13,2015,Qtr 2,June,29
527,4846,627,Delayed,1,1,38.614326,2.4445071,39.99,2015,Qtr 2,May,20,2015,Qtr 2,May,26
528,10057,365,Delayed,1,1,48.98,-80.45065,59.99,2015,Qtr 3,September,8,2015,Qtr 2,May,4
529,8692,44,Delayed,1,5,260.9621,95.54803,299.95,2015,Qtr 1,February,3,2015,Qtr 3,July,27
532,6705,502,Early,0,5,239.98,-48.684757,250,2015,Qtr 2,April,4,2015,Qtr 1,March,4
537,11772,365,On-time,0,5,259.53226,80.059,299.95,2015,Qtr 1,February,24,2015,Qtr 2,June,30
543,10181,83,Delayed,1,3,47.49481,17.088158,50,2015,Qtr 3,July,27,2015,Qtr 2,May,1
544,11079,191,Delayed,1,4,364.50974,66.60221,399.96,2015,Qtr 2,April,29,2015,Qtr 1,January,27
547,9901,824,Early,0,1,13.521191,7.7408957,12.865264,2015,Qtr 1,March,29,2015,Qtr 1,February,24
549,10893,1004,Delayed,1,1,336.93436,109.71725,399.98,2015,Qtr 1,January,20,2015,Qtr 3,September,7
550,6357,627,Delayed,1,5,158.36728,-213.50569,199.92,2015,Qtr 1,February,9,2015,Qtr 1,January,1
551,851,1014,Delayed,1,1,56.682755,27.84139,49.98,2015,Qtr 3,September,20,2015,Qtr 2,April,27
554,926,627,Early,0,5,165.99,86.63235,199.95,2015,Qtr 2,April,15,2015,Qtr 2,April,7
561,8558,957,Early,0,1,254.98,117.30298,299.98,2015,Qtr 2,April,10,2015,Qtr 1,February,11
564,8794,502,Delayed,1,5,239.98,99.451385,250,2015,Qtr 1,February,20,2015,Qtr 1,January,9
566,243,618,Delayed,1,3,109.18396,54.320107,119.97,2015,Qtr 3,July,2,2015,Qtr 3,July,15
569,8898,787,Early,0,5,109.18,-16.918634,119.98,2015,Qtr 3,September,18,2015,Qtr 3,July,1
576,1251,1014,Delayed,1,4,185.99,58.195133,179.97,2015,Qtr 1,January,14,2015,Qtr 3,August,15
606,4023,1014,On-time,0,2,79.98899,17.499926,99.96,2015,Qtr 4,October,8,2015,Qtr 3,July,13
613,7874,403,On-time,0,1,110.49,48.633957,129.99,2015,Qtr 3,July,27,2015,Qtr 2,May,9
624,5408,365,Delayed,1,1,54.531567,18.687233,59.99,2015,Qtr 2,June,16,2015,Qtr 3,September,12
627,16,627,Delayed,1,4,134.98,57.135464,159.96,2015,Qtr 1,March,14,2015,Qtr 2,April,2
631,3721,403,Delayed,1,1,96.963844,4.313378,129.99,2015,Qtr 1,February,22,2015,Qtr 1,January,13
634,1,191,On-time,0,5,476.82358,29.043402,499.95,2015,Qtr 2,April,23,2015,Qtr 1,March,8
643,10306,627,On-time,0,5,191.98466,78.536514,199.92,2015,Qtr 1,February,5,2015,Qtr 1,January,2
650,4510,627,Early,0,4,122.84,58.737057,129.99,2015,Qtr 1,January,11,2015,Qtr 2,May,23
654,1869,1014,Delayed,1,2,87.99949,3.5605564,99.96,2015,Qtr 1,January,13,2015,Qtr 3,August,21
657,6075,502,Delayed,1,5,226.76573,44.378002,250,2015,Qtr 1,January,13,2015,Qtr 2,June,13
660,12317,1004,Early,0,1,387.98,-55.43519,399.98,2015,Qtr 1,March,6,2015,Qtr 2,April,3
663,2222,191,Early,0,1,89.98557,30.134583,99.99,2015,Qtr 1,January,13,2015,Qtr 1,January,10
674,2957,627,Early,0,1,38.258938,-4.7018037,39.99,2015,Qtr 1,March,29,2015,Qtr 2,May,28
675,1798,403,Delayed,1,1,127.866394,62.99519,129.99,2015,Qtr 2,April,18,2015,Qtr 1,February,12
679,8447,957,On-time,0,1,269.23425,112.9246,299.98,2015,Qtr 1,January,18,2015,Qtr 1,February,24
681,10820,1004,Delayed,1,1,333.1132,128.05244,399.98,2015,Qtr 1,January,22,2015,Qtr 1,March,22
683,10227,1004,Early,0,1,377.98,176.17699,399.98,2015,Qtr 4,November,9,2015,Qtr 3,July,1
684,2476,627,Early,0,3,90.97385,-15.527851,119.98,2015,Qtr 3,September,13,2015,Qtr 2,June,26
693,8135,1073,Delayed,1,1,169.99,30.331135,199.99,2015,Qtr 1,March,13,2015,Qtr 3,August,11
696,2542,403,Delayed,1,1,116.99,52.44454,129.99,2016,Qtr 1,January,31,2015,Qtr 4,October,22
697,5560,403,Early,0,1,127.441345,42.061142,129.99,2015,Qtr 1,January,29,2015,Qtr 4,December,6
708,1786,502,Delayed,1,5,232.76,87.783394,250,2015,Qtr 1,January,14,2015,Qtr 2,June,9
724,4006,1073,Delayed,1,1,179.97,80.86247,199.99,2015,Qtr 2,May,12,2015,Qtr 2,April,12
726,386,1014,Delayed,1,1,47.49139,13.235324,49.98,2015,Qtr 3,July,14,2015,Qtr 1,March,5
741,1276,1004,Delayed,1,1,339.31174,44.213528,399.98,2015,Qtr 2,June,24,2015,Qtr 1,March,22
745,2751,502,Delayed,1,5,216.10614,-308.11856,250,2015,Qtr 3,July,18,2015,Qtr 2,April,5
751,5120,1004,On-time,0,1,392.87753,90.06693,399.98,2015,Qtr 1,February,22,2015,Qtr 1,January,12
759,11745,627,On-time,0,3,116.99,-130.97572,129.99,2015,Qtr 1,January,24,2015,Qtr 1,January,2
768,8861,1073,Delayed,1,1,179.99,46.94923,199.99,2015,Qtr 2,June,22,2015,Qtr 3,September,17
780,6977,1073,Delayed,1,1,146.04745,23.356419,199.99,2015,Qtr 2,April,3,2015,Qtr 1,January,8
782,8965,403,Early,0,1,112.574135,47.153713,129.99,2015,Qtr 1,March,10,2015,Qtr 3,September,25
784,8281,403,On-time,0,1,118.29,57.422573,129.99,2015,Qtr 1,January,13,2015,Qtr 1,February,16
787,3709,627,Delayed,1,2,54.59,20.347801,50,2015,Qtr 1,January,15,2015,Qtr 2,June,16
788,2589,365,Early,0,1,59.99,11.25751,59.99,2015,Qtr 2,April,6,2015,Qtr 1,March,19
790,7841,1004,Early,0,1,383.98,116.08144,399.98,2015,Qtr 1,February,24,2015,Qtr 1,January,27
797,9665,191,Early,0,2,167.98853,66.14203,199.92,2015,Qtr 1,January,30,2015,Qtr 1,January,12
799,7145,365,Delayed,1,3,169.0361,54.669167,179.97,2015,Qtr 2,June,11,2015,Qtr 2,April,11
802,230,403,Delayed,1,1,122.976265,-78.61534,129.99,2015,Qtr 1,January,18,2015,Qtr 4,November,8
805,3209,627,Early,0,1,33.621372,15.440335,39.99,2015,Qtr 1,January,17,2015,Qtr 1,January,13
808,9588,403,Delayed,1,1,122.84,56.965065,129.99,2015,Qtr 1,January,18,2015,Qtr 1,January,10
812,4868,403,Delayed,1,1,122.97898,37.547073,129.99,2015,Qtr 1,January,16,2015,Qtr 1,February,8
817,8530,365,Delayed,1,3,173.9328,46.740246,179.97,2015,Qtr 1,January,14,2015,Qtr 1,February,3
826,12105,957,Delayed,1,1,260.85345,109.12395,299.98,2015,Qtr 1,January,23,2015,Qtr 1,January,19
831,3619,191,On-time,0,2,154.5696,-8.22235,199.98,2015,Qtr 1,January,17,2015,Qtr 1,January,11
832,6577,1014,Early,0,4,188.99,91.20251,199.92,2015,Qtr 1,January,13,2015,Qtr 4,December,3
837,4332,249,Delayed,1,1,44.98576,8.993809,50,2015,Qtr 1,January,15,2015,Qtr 1,March,31
838,9891,957,Delayed,1,1,246.83594,112.514725,299.98,2015,Qtr 1,January,17,2015,Qtr 4,November,26
840,4410,957,Early,0,1,267.01505,17.70371,299.98,2015,Qtr 4,December,28,2015,Qtr 3,September,9
844,10107,775,Delayed,1,3,165.99,5.6756263,199.92,2015,Qtr 1,January,18,2015,Qtr 2,June,2
871,10920,1004,On-time,0,1,351.9748,-37.03526,399.98,2015,Qtr 1,March,26,2015,Qtr 1,February,12
874,3074,140,On-time,0,2,45.488293,19.208612,49.98,2015,Qtr 3,August,15,2015,Qtr 2,April,2
878,4402,1014,On-time,0,5,210.83592,-36.04706,249.9,2015,Qtr 1,February,13,2015,Qtr 1,January,9
880,10485,191,Delayed,1,2,191.9584,77.25396,199.98,2015,Qtr 1,January,12,2015,Qtr 1,January,7
891,11510,1004,Delayed,1,1,358.02292,128.47415,399.98,2015,Qtr 1,January,22,2015,Qtr 4,October,30
893,9389,403,Delayed,1,1,104.98527,25.459364,129.99,2015,Qtr 1,January,18,2015,Qtr 2,May,14
898,2766,627,Early,0,1,33.514767,15.341306,39.99,2015,Qtr 1,February,10,2015,Qtr 2,April,7
903,1577,1073,Delayed,1,1,163.77483,39.858055,199.99,2015,Qtr 1,February,13,2015,Qtr 2,June,13
911,2473,1014,Delayed,1,4,191.95898,-30.6491,199.92,2015,Qtr 1,January,21,2015,Qtr 3,September,26
912,5444,1014,Delayed,1,4,179.99,18.561556,199.92,2015,Qtr 1,March,24,2015,Qtr 1,January,18
927,4014,1014,Delayed,1,3,127.98338,-117.96543,149.94,2015,Qtr 1,January,21,2015,Qtr 1,January,11
932,12013,835,Delayed,1,3,48.990334,12.044511,50,2015,Qtr 2,May,1,2015,Qtr 2,April,2
933,8597,957,On-time,0,1,290.95,80.82272,299.98,2015,Qtr 1,January,18,2015,Qtr 1,January,12
934,5695,502,On-time,0,4,188.9233,52.602554,200,2015,Qtr 1,January,13,2015,Qtr 1,January,11
935,12019,403,Early,0,1,113.97405,-10.4493475,129.99,2015,Qtr 1,January,18,2015,Qtr 1,January,13
939,9502,403,On-time,0,1,104.376,-15.604683,129.99,2015,Qtr 1,January,18,2015,Qtr 1,February,20
946,3660,1073,Delayed,1,1,189.91257,87.34396,199.99,2015,Qtr 2,April,6,2015,Qtr 1,February,1
947,6960,365,Delayed,1,4,199.9966,-164.98027,239.96,2015,Qtr 4,December,17,2015,Qtr 2,June,25
948,4769,365,Early,0,4,189.92114,24.989784,239.96,2015,Qtr 1,January,29,2015,Qtr 1,January,13
950,6481,502,Delayed,1,2,84.98238,37.05439,100,2015,Qtr 1,January,15,2015,Qtr 1,January,10
963,11891,502,Delayed,1,5,245.0498,-217.17227,250,2015,Qtr 1,February,7,2015,Qtr 4,December,17
965,3606,191,Delayed,1,2,153.4136,42.344757,199.95,2015,Qtr 1,January,21,2015,Qtr 2,June,2
968,8386,276,Delayed,1,1,40.990322,18.052383,49.98,2015,Qtr 1,January,12,2015,Qtr 1,January,19
973,5224,627,On-time,0,4,167.65045,68.749,179.97,2015,Qtr 1,January,16,2015,Qtr 1,March,26
976,10091,1014,Early,0,2,85.29888,-7.768966,99.96,2015,Qtr 1,January,15,2015,Qtr 1,January,13
979,1126,1004,Delayed,1,1,399.98,134.3491,399.98,2015,Qtr 1,January,25,2015,Qtr 1,January,12
981,1300,957,Delayed,1,4,83.87623,36.631325,99.96,2015,Qtr 3,September,29,2015,Qtr 2,May,13
990,2006,682,Delayed,1,2,118.774124,21.782587,129.99,2015,Qtr 1,January,14,2015,Qtr 1,January,13
992,11543,403,Delayed,1,1,118.29,2.5051606,129.99,2015,Qtr 3,August,16,2015,Qtr 2,June,14
994,72,502,Early,0,1,47.692707,21.654661,50,2015,Qtr 3,July,27,2015,Qtr 2,April,6
996,1815,1004,Delayed,1,1,387.98,30.40419,399.98,2015,Qtr 1,February,25,2015,Qtr 1,January,15
1002,7868,627,Delayed,1,3,106.54983,10.960061,119.97,2015,Qtr 1,January,22,2015,Qtr 1,January,14
1016,2385,365,Delayed,1,1,59.99,17.659845,59.99,2015,Qtr 1,January,17,2015,Qtr 1,January,19
1028,4234,1014,Early,0,3,135.2758,36.9791,149.94,2015,Qtr 1,January,24,2015,Qtr 1,January,20
1030,1651,957,Delayed,1,1,263.48035,131.98897,299.98,2015,Qtr 1,March,8,2015,Qtr 1,February,1
1033,3999,365,Early,0,5,263.96127,65.529686,299.95,2015,Qtr 3,August,7,2015,Qtr 3,July,8
1035,368,1014,Delayed,1,5,234.21638,73.58852,249.9,2015,Qtr 1,January,16,2015,Qtr 1,January,17
1040,1944,627,Early,0,4,127.39,62.982533,150,2015,Qtr 4,October,9,2015,Qtr 3,August,28
1041,835,502,Early,0,5,199.92,52.564445,250,2015,Qtr 2,May,24,2015,Qtr 1,March,1
1049,11227,1014,Delayed,1,4,179.97209,-144.70035,199.92,2015,Qtr 1,January,20,2015,Qtr 1,January,16
1050,3702,927,Delayed,1,5,94.59046,9.548105,119.98,2015,Qtr 1,January,30,2015,Qtr 1,January,20
1053,1789,502,Early,0,4,160.48949,-17.472525,200,2015,Qtr 1,January,18,2015,Qtr 1,January,20
1054,12070,403,Delayed,1,1,106.59,9.367139,129.99,2015,Qtr 1,March,17,2015,Qtr 1,January,22
1061,7609,502,Delayed,1,4,173.99,21.28435,200,2015,Qtr 1,January,29,2015,Qtr 1,January,13
1078,7008,365,Early,0,3,159.4662,12.461314,179.97,2015,Qtr 1,January,17,2015,Qtr 1,January,13
1079,4308,502,Delayed,1,2,97.49,12.149341,100,2015,Qtr 1,January,20,2015,Qtr 2,May,10
1085,8378,365,Delayed,1,4,200.30647,101.14551,249.9,2015,Qtr 3,August,8,2015,Qtr 1,February,24
1088,7881,957,Delayed,1,1,250.815,105.47546,299.98,2015,Qtr 1,February,25,2015,Qtr 1,January,1
1097,4063,1014,Delayed,1,3,110.49,4.425374,143.9699,2015,Qtr 1,February,17,2015,Qtr 1,January,31
1104,2715,1014,Delayed,1,4,180.07173,-102.47203,199.92,2015,Qtr 1,January,22,2015,Qtr 1,January,16
1115,4670,917,Delayed,1,1,25.265146,6.147645,24.998922,2015,Qtr 1,January,19,2015,Qtr 1,February,16
1120,10843,365,On-time,0,5,290.95,-341.05334,299.95,2015,Qtr 2,April,6,2015,Qtr 4,October,29
1122,2980,1014,Delayed,1,1,41.86123,-43.658867,49.98,2015,Qtr 1,January,22,2015,Qtr 1,February,27
1128,1628,365,Early,0,5,245.98,74.67408,299.95,2015,Qtr 4,October,2,2015,Qtr 3,July,27
1131,10518,502,Delayed,1,4,194.62302,83.30165,200,2015,Qtr 1,January,21,2015,Qtr 1,January,15
1133,3248,957,Early,0,1,278.98,144.20517,299.98,2015,Qtr 1,January,18,2015,Qtr 1,January,14
1140,5641,502,On-time,0,1,43.480667,13.607961,50,2015,Qtr 3,September,25,2015,Qtr 4,December,12
1145,6647,502,Early,0,5,211.16,-105.15766,250,2015,Qtr 1,February,9,2015,Qtr 1,February,3
1146,4664,191,Delayed,1,3,293.96506,71.53207,299.96503,2015,Qtr 1,January,23,2015,Qtr 2,April,8
1149,293,365,Delayed,1,2,100.71261,6.062234,119.98,2015,Qtr 4,November,18,2015,Qtr 3,July,29
1151,11164,502,Delayed,1,4,169.9696,65.258224,199.99,2015,Qtr 2,June,18,2015,Qtr 1,February,15
1152,6703,1004,Early,0,1,377.449,72.26417,399.98,2015,Qtr 1,January,21,2015,Qtr 1,January,13
1155,137,812,On-time,0,5,91.3031,41.969246,100,2015,Qtr 1,January,21,2015,Qtr 1,January,28
1164,10282,1073,Early,0,1,185.99881,77.07522,199.99,2015,Qtr 1,January,19,2015,Qtr 1,January,17
1165,7101,627,Delayed,1,2,84.974144,-27.349234,74.97,2015,Qtr 1,January,21,2015,Qtr 1,January,15
1170,1347,365,Delayed,1,4,208.02602,58.67877,239.96,2015,Qtr 1,March,1,2015,Qtr 1,January,1
1171,11155,365,Early,0,5,246.50836,23.270004,299.95,2015,Qtr 2,April,6,2015,Qtr 1,March,11
1178,9888,403,Delayed,1,1,124.5,-0.55029666,129.99,2015,Qtr 2,April,8,2015,Qtr 1,February,22
1184,3163,191,Delayed,1,1,87.43149,-5.939458,99.99,2015,Qtr 1,January,21,2015,Qtr 1,January,17
1190,327,1014,Delayed,1,2,93.075966,3.3270602,99.96,2015,Qtr 1,February,4,2015,Qtr 1,January,5
1201,2120,1004,On-time,0,1,335.97177,129.33377,399.98,2015,Qtr 1,January,21,2015,Qtr 1,February,1
1211,8207,403,Delayed,1,1,136.18031,50.095398,129.99,2015,Qtr 1,March,20,2015,Qtr 1,January,21
1220,2598,957,On-time,0,1,286.30762,74.19874,299.98,2015,Qtr 1,January,20,2015,Qtr 1,January,30
1222,4787,1004,Delayed,1,1,347.24564,-125.32469,399.98,2015,Qtr 1,January,23,2015,Qtr 1,January,15
1224,4297,403,Early,0,1,106.601814,16.852074,129.99,2015,Qtr 1,January,15,2015,Qtr 1,January,15
1227,4887,403,Early,0,1,106.59,47.28515,129.99,2015,Qtr 1,January,17,2015,Qtr 1,January,18
1233,11988,502,Delayed,1,3,149.03442,-2.1855311,150,2015,Qtr 1,January,22,2015,Qtr 1,January,20
1234,5642,627,Delayed,1,2,79.986374,32.352406,79.98,2015,Qtr 1,January,22,2015,Qtr 1,January,21
1235,405,403,On-time,0,1,122.98117,46.855736,129.99,2015,Qtr 1,January,15,2015,Qtr 1,January,17
1236,2925,1014,Delayed,1,5,227.42545,-32.232693,249.9,2015,Qtr 1,January,22,2015,Qtr 1,January,14
1238,9459,502,Delayed,1,4,195.99,75.62634,200,2015,Qtr 1,January,25,2015,Qtr 1,February,15
1242,1390,1073,On-time,0,1,149.99,58.841347,199.99,2015,Qtr 1,January,15,2015,Qtr 1,January,17
1247,3181,365,Early,0,4,195.98364,89.283005,239.96,2015,Qtr 1,January,16,2015,Qtr 1,January,19
1251,2193,957,Delayed,1,1,284.98,127.52028,299.98,2015,Qtr 1,January,17,2015,Qtr 1,January,14
1256,8642,365,Delayed,1,5,283.45752,143.63393,299.95,2015,Qtr 1,February,21,2015,Qtr 1,January,16
1259,518,191,On-time,0,3,299.95,133.27908,299.97,2015,Qtr 1,January,18,2015,Qtr 1,January,14
1263,10427,957,On-time,0,1,251.9676,46.37722,299.98,2015,Qtr 2,May,15,2015,Qtr 2,May,23
1265,5685,365,Delayed,1,2,109.18156,29.22924,119.98,2015,Qtr 1,January,20,2015,Qtr 1,January,17
